name,cuisine,latitude,longitude,address,rating,review_count,price,cafe,food_court,halal,vegetarian,wheelchair_accessible
Les Bouchons,French,1.2813,103.84571,"['7 Ann Siang Road', 'Singapore 069689', 'Singapore']",3,13,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Zzapi,Italian,1.316404553,103.8355207,"['271 Bukit Timah Road', '#01-04, Balmoral Plaza', 'Singapore 259708', 'Singapore']",4,1,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Ristorante Pietrasanta,Italian,1.298994847,103.7876004,"['1 Fusionopolis Way', '#01-08', 'Connexis Tower', 'Singapore 138632', 'Singapore']",4,16,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Dolce Vita,Italian,1.29063,103.85844,"['5 Raffles Ave', 'Level 5', 'Singapore 039797', 'Singapore']",4.5,6,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
iO Italian Osteria,Italian,1.362962442,103.7644064,"['4 Hillview Rise Hill V2', '# 02-01', 'Singapore 667979', 'Singapore']",4.5,19,$$$,FALSE,FALSE,FALSE,FALSE,TRUE
Jamie's Italian,Italian,1.30629,103.8286399,"['583 Orchard Rd', '#01 01-04', 'Singapore 238884', 'Singapore']",3,26,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Da Luca Italian Restaurant,Italian,1.3182,103.8426132,"['1 Goldhill Plaza, #01-19/21 Goldhill Plaza', 'Singapore 308899', 'Singapore']",3.5,8,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Alfresco Gusto,Italian,1.305104,103.832075,"['2 Orchard Turn', 'ION Orchard #01-15', 'Singapore 238801', 'Singapore']",2.5,3,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Caruso,Italian,1.330735117,103.7958559,"['791 Bukit Timah Rd', 'Singapore 269764', 'Singapore']",4,3,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Bel Mondo,Italian,1.2920715,103.859851,"['9 Raffles Boulevard', 'Singapore 039596', 'Singapore']",4,6,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
La Strada,Italian,1.306347554,103.8318952,"['1 Scotts Rd', '#01-13', 'Singapore 228208', 'Singapore']",4.5,16,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
sufood,Italian,1.29383,103.8533325,"['252 North Bridge Road', 'Raffles City Shopping Centre, #02-19', 'Singapore', 'Singapore']",4,6,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Pasta Brava,Italian,1.277636955,103.8427265,"['11 Craig Rd', 'Tanjong Pagar 089671', 'Singapore']",4,22,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Perbacco,Italian,1.27803,103.8423462,"['20 Craig Rd', '#01-03', 'Singapore 089692', 'Singapore']",4,3,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Limoncello Pizza & Grill,Italian,1.29093,103.83668,"['95 Robertson Quay', '#01-19/20', 'Rivergate', 'Singapore 238256', 'Singapore']",3,12,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Aura,Italian,1.2897045,103.8512862,"[""1 St Andrew's Rd"", '#06-02', 'Singapore 178957', 'Singapore']",3.5,21,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Cicheti,Italian,1.3017,103.85997,"['52 Kandahar St', 'Singapore 198901', 'Singapore']",4,34,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Petes's Place,Italian,1.3064382,103.83333,"['Grand Hyatt Singapore', '10 Scotts Road', 'Singapore 228211', 'Singapore']",3.5,13,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Pizza Fabbrica,Italian,1.301014036,103.8600211,"['69/70 Bussorah Street', 'Singapore 199483', 'Singapore']",4,12,$$$,FALSE,FALSE,FALSE,FALSE,TRUE
Atmastel,Italian,1.294411882,103.855544,"['26 Beach Rd', '#B1-22', 'South Beach Avenue', 'Singapore 189768', 'Singapore']",3.5,4,$$$,FALSE,FALSE,FALSE,FALSE,TRUE
Zafferano Restaurant,Italian,1.282762127,103.8530221,"['10 Collyer Quay', '#43-01', 'Ocean Financial Centre', 'Singapore 049315', 'Singapore']",3,16,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
La Pizzaiola,Italian,1.381617123,103.8297154,"['19 Kalidasa Avenue', 'Singapore 789398', 'Singapore']",4.5,4,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Rubato,Italian,1.331184718,103.8069923,"['12 Greenwood Ave', 'Singapore 289204', 'Singapore']",4,12,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Peperoni Pizzeria,Italian,1.3534281,103.8333141,"['267 Upper Thomson Rd', 'Singapore 574394', 'Singapore']",4,1,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
