name,cuisine,latitude,longitude,address,rating,review_count,price,postal_code,
Porn's,thai,1.29831,103.8563004,28 Liang Seah St,3,7,$$,189049,
Poulet,french,1.29971,103.85414,201 Victoria St,3,14,$$,188067,
Prego,italian,1.293827,103.854009,80 Bras Basah Rd,3.5,28,$$$,189560,
Privé CHIJMES,singaporean,1.294728,103.85224,30 Victoria St,3,18,$$$,187996,
Ramen Champion,japanese,1.299735281,103.8542211,201 Victoria St,3.5,25,$$,188067,
Rocku Yakiniku Japanese Charcoal Grill,japanese,1.299629,103.854302,201 Victoria Street,1.5,5,$$$,188067,
Rocky Master,singaporean,1.2965802,103.8543779,402 North Bridge Road,3.5,4,$,188722,
Salted & Hung,western,1.296537233,103.8551941,12 Purvis St,4,13,$$$,188591,
Sari Ratu,indonesian,1.302677168,103.8625999,4001 Beach Road,5,1,$,199584,
Saveur,french,1.29695,103.8550491,5 Purvis St,4,68,$$,188584,
Sawadee Thai Cuisine,thai,1.2981813,103.8568767,9  Tan Quee Lan Street,4.5,14,$$,188098,
Seoul Garden,korean,1.29966,103.85571,200 Victoria St,3,1,$$,188021,
Seoul Yummy,korean,1.29950466,103.8543804,201 Victoria St,3.5,6,$$,188067,
Seow Choon Hua Restaurant,chinese,1.3014899,103.8607712,33 Sultan Gate,4,7,$,198481,
Shokudo Japanese Coffee House,italian,1.29741,103.8566208,87 Beach Rd,4,1,$$,189695,
Ssikkek Korean Grill Bbq Buffet,korean,1.29653,103.8537064,231 Bain Street,3,6,$$,180231,
SushiAirways Sushibar,japanese,1.30117,103.8597336,20A Baghdad Street,3.5,7,$$$,199659,
Tabbouleh,mediterranean,1.30062,103.8595,41 Arab St,3.5,13,$$,199740,
Tai Hwa Pork Noodle,singaporean,1.305307,103.862343,466 Crawford Lane,4,85,$,190465,
Teng Bespoke Japanese Vegetarian Dining,japanese,1.30054,103.85103,91 Bencoolen Street,4.5,13,$$$,189652,
Thai Boat Noodles @BaanThai Kitchen,thai,1.302871651,103.8653023,Golden Mile Complex,5,3,$,199588,
Thai Gold,thai,1.300129457,103.8511687,91 Bencoolen St,3.5,4,$$,189625,
The Ramen House,japanese,1.301912,103.850302,6 Short St,3.5,10,$$,188213,
Tolido's Espresso Nook,western,1.304534861,103.8610711,462 Crawford Ln,4.5,66,$$,190462,
Tonkotsu King Four Seasons,japanese,1.300943406,103.855325,158 Rochor Rd,3.5,16,$$,188433,
Va Va Voom Cafe,vietnamese,1.2959501,103.8548279,36 Seah Street,4,2,$,188392,
Victor's Kitchen,chinese,1.300404,103.850956,91 Bencoolen St,3.5,23,$,189652,
Wah Lok Cantonese Restaurant,cantonese,1.296078903,103.8525358,76 Bras Basah Rd,4,17,$$$,189558,
Wing Seong Fatty's,malay,1.30219792,103.8524941,175 Bencoolen St,4,15,$$,189649,
Wing Seong Fatty's,chinese,1.30219792,103.8524941,175 Bencoolen St,4,15,$$,189649,
Yamagawa Japanese Restaurant,japanese,1.30011,103.8606415,7500A Beach Rd,4,5,$$$,199591,
Yhingthai Palace,thai,1.29656,103.85496,36 Purvis St,4,17,$$$,188613,
Yoogane,korean,1.3026201,103.8544006,4 Rochor Road,3.5,5,$$$,181004,
Zenso,thai,1.30054,103.85103,91 Bencoolen St,3.5,7,$,189652,
Zhong Hua Steamboat,chinese,1.29728,103.856818,95 Beach Road 01-01,5,2,$$,189699,
