,name,cuisine,latitude,longitude,address,rating,review_count,price
1387,Tian Tian Seafood Restaurant,chinese,1.28464908298066,103.834963084655,"['239 Outram Rd', 'Singapore 169042', 'Singapore']",4.5,2,$$
1388,Whampoa Keng,chinese,1.31513285111994,103.85378792882,"['116-118 Rangoon Rd', 'Singapore 218396', 'Singapore']",4.0,3,$$
1389,Wee Nam Kee Hainanese Chicken Rice,chinese,1.2909336,103.8573824,"['6 Raffles Blvd', '#04-102B', 'Singapore 039594', 'Singapore']",3.5,15,$$
1390,Dong Bang Hong,chinese,1.28267304329438,103.84871177657,"['92/94 Telok Ayer Street', '#01-01', 'Singapore 048472', 'Singapore']",4.0,5,$$
1391,Zhong Hua Steamboat,chinese,1.29728,103.856818,"['95 Beach Road 01-01', 'Singapore 189699', 'Singapore']",5.0,2,$$
1392,Outram Park Ya Hua Bah Kut Teh,chinese,1.27184843899874,103.842564800722,"['7 Keppel Rd', '#01-05/07', 'Tanjong Pagar Complex', 'Singapore 089053', 'Singapore']",3.5,19,$$
1393,Hui Wei Chinese Thai Cuisine,chinese,1.30766557932958,103.860226683509,"['802 French Road', 'Singapore 200802', 'Singapore']",4.0,1,$$
1394,Tim Ho Wan,chinese,1.30938277758431,103.864076119502,"['12 Kallang Ave', '#01-01/02/03', 'Singapore 339511', 'Singapore']",3.0,18,$$
1395,Sin Hoi Sai Eating House,chinese,1.30711,103.90626,"['187 East Coast Rd', 'Singapore 428893', 'Singapore']",4.0,17,$$
1396,Din Tai Fung,chinese,1.2807892,103.8535862,"['8a Marina Boulevard', '#B2-05/06', 'Singapore 018981', 'Singapore']",4.0,60,$$
1397,Ya Hua Bak Kut Teh,chinese,1.28927,103.8319999,"['593 Havelock Rd', '#01-01/02', 'Singapore 169641', 'Singapore']",4.0,11,$$
1398,Boon Tong Kee,chinese,1.29512,103.82943,"['425 River Valley Rd', 'Singapore 248324', 'Singapore']",3.5,40,$$
1399,Imperial Treasure Nan Bei Restaurant,chinese,1.30273749667323,103.834619043447,"['391 Orchard Rd', '#05-12/13', 'Singapore 238874', 'Singapore']",4.5,13,$$
1400,Crystal Jade Golden Palace,chinese,1.30389,103.83583,"['290 Orchard Road', '#05-21/24', 'Singapore 238859', 'Singapore']",4.0,20,$$
1401,Food R Us,chinese,1.31826393181907,103.807827524261,"['3 Queens Rd', '#02-171', 'Singapore 260003', 'Singapore']",3.0,6,$$
1402,Two Chefs Eating Place,chinese,1.3622299,103.8349075,"['409 Sin Ming Avenue', 'Singapore 570409', 'Singapore']",3.0,5,$$
1403,Din Tai Fung,chinese,1.25695174483075,103.820544093289,"['26 Sentosa Gateway', '#01-217/222', 'Singapore 098138', 'Singapore']",3.5,23,$$
1404,Ubin Kitchen,chinese,1.3084151,103.9031731,"['357/359 Joo Chiat Rd', 'Singapore 427602', 'Singapore']",4.0,11,$$
1405,Don Signature Crab,chinese,1.34245995362504,103.846301288607,"['39 Tyrwhitt Road', 'Singapore 207538', 'Singapore']",4.0,4,$$
1406,Hong Kong Street Chun Kee,chinese,1.3066,103.8002396,"['117 Commonwealth Dr', 'Singapore 140117', 'Singapore']",4.0,1,$$
1407,Imperial Treasure Cantonese,chinese,1.29414,103.8314972,"['Great World City, #02-05A/6', '1 Kim Seng Promenade', 'Singapore 239404', 'Singapore']",4.0,9,$$
1408,Seletar Hill,chinese,1.38588,103.8730774,"['16 Jln Selaseh', 'Singapore 808440', 'Singapore']",5.0,1,$$
1409,Yuan Xing Teochew Restaurant,chinese,1.32013003111979,103.864598112694,"['34 Whampoa West', '#01-01', 'Singapore 330034', 'Singapore']",2.5,3,$$
1410,Golden Jade Restaurant Culinary Group,chinese,1.3124211,103.8778101,"['271 Geylang Road Singapore', 'Singapore 389324', 'Singapore']",4.5,2,$$
1411,Hachifukumaru Nantsuttei,chinese,1.30138,103.8405228,"['160 Orchard Road', '#01-13, OG Orchard Point', 'Singapore 238842', 'Singapore']",4.0,5,$$
1412,Wah Kee Big Prawn Noodle,chinese,1.28966381428287,103.85617357767,"['8 Raffles Ave', '#01-13C', 'Singapore 038983', 'Singapore']",3.5,5,$$
